Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Blackadder,1983,7+,8.1,Comedy,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.Blackadder featuring Rowan Atkinson and Hugh Laurie has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, streaming on BritBox, and 4 others. It's a comedy show with 24 episodes over 4 seasons. Blackadder is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (34,966 votes).",4Seasons,"Prime Video,Hulu,BritBox"
The Young Pope,2016,7+,8.4,Drama,"Lenny Belardo, the youngest and first American Pope in the history of the Church, must establish his new papacy and navigate the power struggles of the closed, secretive Vatican.The Young Pope featuring Jude Law and Diane Keaton has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a drama show with 10 episodes over 1 season. The Young Pope is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (36,300 votes).",1Season,"HBO MAX,HBO"
The Bureau,2015,16+,8.7,Drama,"Within the DGSE (General Directorate for External Security), a department called the Office Of Legends (BDL) forms and remote pilot the most important agents of the French intelligence services: Clandestine. Immersion in hostile country, their mission is to identify individuals who may be recruited as sources of information. Operating ""under caption"", that is to say in a fabricated identity from scratch, they live for many years in a permanent duplicity. Our hero just returned from a clandestine mission six years in Damascus. But contrary to what is required by safety rules, he does not abandon his legend and the identity under which he lived in Syria, thus putting in danger the whole system.The Bureau featuring Mathieu Kassovitz and Sara Giraudeau has one or more episodes streaming with subscription on Prime Video, streaming on Sundance Now, available for purchase on iTunes, and 3 others. It's a drama show with 51 episodes over 5 seasons. The Bureau is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (6,683 votes).",5Seasons,Prime Video
Empire,2015,16+,7.4,"Drama, Family","A powerful family drama about the head of a music empire whose three sons and ex-wife all battle for his throne.Empire featuring Terrence Howard and Taraji P. Henson has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FOX (Via Cable/Satellite Provider), streaming with subscription on Hoopla, and 5 others. It's a drama and family show with 103 episodes over 6 seasons. Empire is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.4 (37,167 votes) and was well received by critics.",6Seasons,"Hulu,FOX,Hoopla"
Abstract: The Art of Design,2017,16+,8.4,Documentary,"Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.Abstract: The Art of Design featuring Christoph Niemann and Es Devlin has one or more episodes streaming with subscription on Netflix. It's a documentary show with 14 episodes over 2 seasons. Abstract: The Art of Design is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (4,517 votes) and was very well received by critics.",2Seasons,Netflix
Victoria,2016,16+,8.2,"Drama, Biography","The story of Queen Victoria, who came to the throne at a time of great economic turbulence and resurgent republicanism – and died 64 years later the head of the largest empire the world had ever seen, having revitalised the throne’s public image and become “grandmother of Europe”.Victoria featuring Jenna Coleman and Tom Hughes has one or more episodes streaming with subscription on Prime Video, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a biography and drama show with 25 episodes over 3 seasons. Victoria is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (21,354 votes) and was well received by critics.",3 Seasons,Prime Video
The Lying Game,2011,16+,7.3,"Drama, Mystery","Emma, a kind-hearted foster kid who can't catch a break, finds out she has an identical twin sister, Sutton, who - unlike Emma - was adopted by wealthy parents and is seemingly living an ideal life. After their initial meeting, Sutton talks Emma into stepping into her life for a few days while she pursues a lead on their birth mother. Initially excited to do this favor for her sister, Emma soon learns that Sutton has gone missing and could be in trouble. Now, Emma must decide whether to come clean to Sutton's family and risk her own safety in the hope of uncovering her twin sister's true whereabouts, along with the truth about why they were separated in the first place.The Lying Game featuring Alexandra Chando and Alice Greczyn has one or more episodes free on CW Seed, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a drama and mystery show with 30 episodes over 2 seasons. The Lying Game is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.3 (17,877 votes) and was well received by critics.",2Seasons,Free Services
Fear City: New York vs The Mafia,2020,18+,7.1,"Documentary, Crime","New York City in the 1970s was ruled with a bloody fist by five mafia families, until a group of federal agents tried the unthinkable: taking them down.Fear City: New York vs The Mafia has one or more episodes streaming with subscription on Netflix. It's a crime and documentary show with 3 episodes over 1 season. Fear City: New York vs The Mafia is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.1 (4,198 votes) and was well received by critics.",1Season,Netflix
Ghost in the Shell: Stand Alone Complex,2002,18+,8.5,"Action & Adventure, Anime","In the future when technological enhancements and robotics are a way of life, Major Motoko Kusanagi and Section 9 take care of the jobs that are too difficult for the police. Section 9 employs hackers, sharpshooters, detectives and cyborgs all in an effort to thwart cyber criminals and their plans to attack the innocent.Ghost in the Shell: Stand Alone Complex featuring Atsuko Tanaka and Akio Otsuka has one or more episodes streaming on Starz, free on Adult Swim, streaming with subscription on Hoopla, and 6 others. It's an action & adventure and animation show with 74 episodes over 3 seasons. Ghost in the Shell: Stand Alone Complex is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (17,648 votes).",3Seasons,"Free Services,Starz,Hoopla"
Dark Desire,2020,18+,6.3,"Drama, Mystery","Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.Dark Desire featuring Maite Perroni and Alejandro Speitzer has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 18 episodes over 1 season. Dark Desire is still airing with no announced date for the next episode or season. It has an average IMDb audience rating of 6.3 (2,192 votes).",1Season,Netflix
